Brinell 3000Kg,Approx Tensile in (kPsi),Mpa,,,,,,,
654,320,2206.1,,,,,,,
634,310,2137.1,,,,,,,
615,300,2068.2,,,,,,, 
595,290,1999.3,,,,,,,
577,282,1944.1,,,,,,,
560,274,1889,,,,,,,
543,266,1833.8,,,,,,,
525,257,1771.8,,,,,,,
500,245,1689,,,,,,,
487,239,1647.7,,,,,,,
475,233,1606.3,,,,,,,
464,227,1564.9,,,,,,,
451,221,1523.6,,,,,,,
442,217,1496,,,,,,,
432,212,1461.5,,,,,,,
421,206,1420.2,,,,,,,
409,200,1378.8,,,,,,,
400,196,1351.2,,,,,,,
390,191,1316.8,,,,,,,
381,187,1289.2,,,,,,,
371,182,1254.7,,,,,,,
362,177,1220.2,,,,,,,
353,173,1192.7,,,,,,,
344,169,1165.1,,,,,,,
336,165,1137.5,,,,,,,
327,160,1103,,,,,,,
319,156,1075.5,,,,,,,
311,152,1047.9,,,,,,,
301,147,1013.4,,,,,,,
294,144,992.7,,,,,,,
286,140,965.2,,,,,,,
279,137,944.5,,,,,,,
271,133,916.9,,,,,,,
264,129,889.3,,,,,,,
258,126,868.6,,,,,,,
253,124,854.9,,,,,,,
247,121,834.2,,,,,,,
240,118,813.5,,,,,,,
234,115,792.8,,,,,,,
228,112,772.1,,,,,,,
222,109,751.4,,,,,,,
216,106,730.8,,,,,,,
210,103,710.1,,,,,,,
205,100,689.4,,,,,,,
200,98,675.6,,,,,,,
195,96,661.8,,,,,,,
190,93,641.1,,,,,,,
185,91,627.4,,,,,,,
180,88,606.7,,,,,,,
176,86,592.9,,,,,,,
172,84,579.1,,,,,,,
169,83,572.2,,,,,,,
165,81,558.4,,,,,,,
162,79,544.6,,,,,,,
159,78,537.7,,,,,,,
156,76,523.9,,,,,,,
153,75,517.1,,,,,,,
150,73,503.3,,,,,,,
