RockWell B,Approx Tensile in (Kpsi),Mpa
120,274,1889.0
120,266,1833.8
119,257,1771.8
119,245,1689.0
118,239,1647.7
117,233,1606.3
117,227,1564.9
116,221,1523.6
116,217,1496.0
115,212,1461.5
115,206,1420.2
114,200,1378.8
113,196,1351.2
113,191,1316.8
112,187,1289.2
112,182,1254.7
111,177,1220.2
110,173,1192.7
110,169,1165.1
109,165,1137.5
109,160,1103.0
108,156,1075.5
108,152,1047.9
107,147,1013.4
106,144,992.7
105,140,965.2
104,137,944.5
104,133,916.9
103,129,889.3
103,126,868.6
102,124,854.9
101,121,834.2
100,118,813.5
99,115,792.8
98,112,772.1
97,109,751.4
96,106,730.8
95,103,710.1
94,100,689.4
93,98,675.6
92,96,661.8
91,93,641.1
90,91,627.4
89,88,606.7
88,86,592.9
87,84,579.1
86,83,572.2
85,81,558.4
84,79,544.6
83,78,537.7
82,76,523.9
81,75,517.1
80,73,503.3
