Vickers 136 (Dia Pyramid),Approx Tensile (1K psi),Mpa
697,320,2206.3
674,310,2137.4
653,300,2068.4
633,290,1999.5
613,282,1944.3
595,274,1889.2
577,266,1834.0
560,257,1772.0
544,245,1689.2
528,239,1647.8
513,233,1606.5
498,227,1565.1
484,221,1523.7
471,217,1496.2
458,212,1461.7
446,206,1420.3
434,200,1379.0
423,196,1351.4
412,191,1316.9
402,187,1289.3
198,182,1254.8
182,177,1220.4
172,173,1192.8
163,169,1165.2
154,165,1137.6
145,160,1103.2
336,156,1075.6
327,152,1048.0
318,147,1013.5
310,144,992.8
302,140,965.3
294,137,944.6
286,133,917.0
279,129,889.4
272,126,868.7
266,124,854.9
260,121,834.3
254,118,813.6
248,115,792.9
243,112,772.2
238,109,751.5
230,106,730.8
222,103,710.2
213,100,689.5
208,98,675.7
204,96,661.9
196,93,641.2
192,91,627.4
188,88,606.7
184,86,592.9
180,84,579.2
176,83,572.3
173,81,558.5
170,79,544.7
166,78,537.8
163,76,524.0
160,75,517.1
